<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
NLMK;D;20200914;000000;164.0000000;167.1000000;162.8400000;166.6000000;6433030
NLMK;D;20200915;000000;167.3800000;169.4400000;165.9600000;168.9800000;5742110
NLMK;D;20200916;000000;167.3600000;169.0800000;165.6400000;167.2000000;6546710
NLMK;D;20200917;000000;166.4200000;168.9600000;166.1000000;168.3000000;4975480
NLMK;D;20200918;000000;168.0600000;168.7200000;165.4200000;166.6800000;6413180
NLMK;D;20200921;000000;166.1200000;167.4800000;164.7200000;166.4200000;3939770
NLMK;D;20200922;000000;165.9800000;168.1000000;165.4000000;166.7200000;4986670
NLMK;D;20200923;000000;167.0000000;168.8600000;165.0000000;165.1000000;6960290
NLMK;D;20200924;000000;165.7600000;168.2800000;163.2600000;167.5200000;6073340
NLMK;D;20200925;000000;167.6400000;169.0000000;166.5400000;168.5800000;3362410
NLMK;D;20200928;000000;168.7000000;172.0000000;168.3600000;171.8600000;5753230
NLMK;D;20200929;000000;171.6000000;175.1600000;171.0600000;175.0000000;5551630
NLMK;D;20200930;000000;174.5400000;175.9800000;171.5200000;172.0000000;5145980
NLMK;D;20201001;000000;172.7200000;174.0000000;171.0000000;171.5200000;2359580
NLMK;D;20201002;000000;171.1200000;174.6000000;171.0000000;173.4600000;3286570
NLMK;D;20201005;000000;173.8400000;174.7600000;171.9400000;173.9000000;3785990
NLMK;D;20201006;000000;173.5000000;174.7800000;172.3600000;173.2000000;3849060
NLMK;D;20201007;000000;173.0000000;174.3600000;170.8400000;172.4800000;5316590
NLMK;D;20201008;000000;172.4600000;175.4000000;172.1000000;174.2800000;8429970
NLMK;D;20201009;000000;170.4200000;171.8600000;167.0200000;169.2200000;6052680
NLMK;D;20201012;000000;169.3000000;173.5200000;169.0000000;173.2800000;4038620
NLMK;D;20201013;000000;173.1000000;173.3000000;167.8000000;168.2800000;3659690
NLMK;D;20201014;000000;168.1600000;170.5000000;167.1200000;169.6800000;5180440
NLMK;D;20201015;000000;169.7000000;171.3800000;168.6800000;170.7400000;4021250
NLMK;D;20201016;000000;170.8400000;171.9000000;169.6400000;170.5600000;4073440
NLMK;D;20201019;000000;171.0200000;171.7000000;168.0200000;170.1400000;2125920
NLMK;D;20201020;000000;169.8000000;172.6200000;169.7600000;172.3400000;2845870
NLMK;D;20201021;000000;172.4800000;173.3400000;170.4000000;171.2200000;4428130
NLMK;D;20201022;000000;170.7000000;182.2200000;170.7000000;180.2400000;13287650
NLMK;D;20201023;000000;180.4000000;181.9200000;178.7000000;179.5000000;7031360
NLMK;D;20201026;000000;179.8800000;181.0000000;178.0200000;179.6400000;4773590
NLMK;D;20201027;000000;179.9800000;184.1800000;179.2400000;180.6200000;6889040
NLMK;D;20201028;000000;181.0200000;181.8400000;175.6200000;178.8400000;7954110
NLMK;D;20201029;000000;179.4400000;182.5000000;177.3600000;181.0800000;5981130
NLMK;D;20201030;000000;179.9800000;186.4000000;177.8000000;185.1000000;9139460
NLMK;D;20201102;000000;185.2000000;189.2400000;183.2400000;188.2000000;7032540
