<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
LNZL;D;20201002;000000;18890.0000000;18940.0000000;18800.0000000;18850.0000000;2798
LNZL;D;20201005;000000;18950.0000000;18950.0000000;18720.0000000;18750.0000000;253
LNZL;D;20201006;000000;18780.0000000;18870.0000000;18780.0000000;18810.0000000;248
LNZL;D;20201007;000000;18890.0000000;18910.0000000;18810.0000000;18840.0000000;1033
LNZL;D;20201008;000000;18840.0000000;19100.0000000;18840.0000000;19100.0000000;1041
LNZL;D;20201009;000000;19140.0000000;19190.0000000;18910.0000000;19050.0000000;771
LNZL;D;20201012;000000;19060.0000000;19100.0000000;19040.0000000;19050.0000000;1522
LNZL;D;20201013;000000;19110.0000000;19300.0000000;19060.0000000;19140.0000000;2843
LNZL;D;20201014;000000;19210.0000000;19260.0000000;19140.0000000;19220.0000000;517
LNZL;D;20201015;000000;19250.0000000;19280.0000000;19200.0000000;19260.0000000;512
LNZL;D;20201016;000000;19300.0000000;19350.0000000;19250.0000000;19290.0000000;1168
LNZL;D;20201019;000000;19250.0000000;19370.0000000;19250.0000000;19330.0000000;324
LNZL;D;20201020;000000;19330.0000000;19380.0000000;19310.0000000;19330.0000000;851
LNZL;D;20201021;000000;19380.0000000;19470.0000000;18840.0000000;19350.0000000;337
LNZL;D;20201022;000000;19370.0000000;19400.0000000;19350.0000000;19380.0000000;517
LNZL;D;20201023;000000;19390.0000000;19400.0000000;19370.0000000;19400.0000000;176
LNZL;D;20201026;000000;19420.0000000;19420.0000000;19330.0000000;19400.0000000;1480
LNZL;D;20201027;000000;19450.0000000;19450.0000000;19320.0000000;19350.0000000;176
LNZL;D;20201028;000000;19370.0000000;19440.0000000;19280.0000000;19320.0000000;536
LNZL;D;20201029;000000;19280.0000000;19350.0000000;19090.0000000;19330.0000000;316
LNZL;D;20201030;000000;19340.0000000;19350.0000000;19280.0000000;19350.0000000;293
LNZL;D;20201102;000000;19320.0000000;19460.0000000;19320.0000000;19360.0000000;239
